TABLE_NAME,COLUMN_NAME,CONSTRAINT_NAME,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME
email_template,created_by,templateOwner,users,id
email_template,updated_by,templateOwner01,users,id
feedback_answer,feedback_response_id,feedback_response_FK,feedback_response,id
feedback_answer,training_id,training_id_FK,training,id
feedback_response,feedback_template_id,Feedback_template_FK,feedback_template,id
feedback_response,instructor_id,instructor_FK,users,id
feedback_response,student_id,student_FK,student,id
feedback_response,training_id,training_FK,training,id
feedback_template_question,feedback_template_id,feedback_template_question_ibfk_1,feedback_template,id
image_configurator,created_by,image.config,users,id
image_configurator,updated_by,image.config2,users,id
region_machine_ami,created_by,created_by_FK1,users,id
region_machine_ami,region_code,region_code_FK,region_training,code
student,role_id,student_ibfk_2,role,id
student,studio_id,student_ibfk_3,studio,id
student,location_id,student_ibfk_4,location,id
student,created_by,student_ibfk_5,users,id
student,updated_by,student_ibfk_6,users,id
studio,location_id,studio_ibfk_3,location,id
studio_template,feedback_template_id,feedback_template_id_FK,feedback_template,id
studio_template,studio_id,studio_id_FK,studio,id
training,email_template_id,training_ibfk_10,email_template,id
training,instructor_id,training_ibfk_2,users,id
training,studio_id,training_ibfk_3,studio,id
training,cancle_by,training_ibfk_4,users,id
training,reschduled_by,training_ibfk_5,users,id
training,created_by,training_ibfk_6,users,id
training,updated_by,training_ibfk_7,users,id
training,region_code,training_ibfk_9,region_training,code
training_date,training_id,training_date_ibfk_1,training,id
users,role_id,users_ibfk_2,role,id
users,location_id,users_ibfk_4,location,id
users_training,student_id,users_training_ibfk_1,student,id
users_training,training_id,users_training_ibfk_2,training,id
