TABLE_NAME,TABLE_SCHEMA,ENGINE,TABLE_ROWS,DATA_LENGTH,INDEX_LENGTH
ami_config,epic_stagging,InnoDB,2,16384,0
auto_assign_data,epic_stagging,InnoDB,0,16384,0
cron_schedule,epic_stagging,InnoDB,3602,425984,0
email_template,epic_stagging,InnoDB,23,49152,32768
feedback_answer,epic_stagging,InnoDB,657,212992,196608
feedback_response,epic_stagging,InnoDB,7336,12107776,6356992
feedback_template,epic_stagging,InnoDB,32,16384,16384
feedback_template_question,epic_stagging,InnoDB,182,81920,16384
image_configurator,epic_stagging,InnoDB,105,98304,32768
image_configurator_project,epic_stagging,InnoDB,6,16384,0
image_configurator_tool,epic_stagging,InnoDB,44,16384,0
instance,epic_stagging,InnoDB,14,16384,32768
location,epic_stagging,InnoDB,278,65536,0
mandatory_feedback_question,epic_stagging,InnoDB,3,16384,0
modification_users_logs,epic_stagging,InnoDB,0,16384,0
region_machine_ami,epic_stagging,InnoDB,754,491520,180224
region_training,epic_stagging,InnoDB,40,16384,16384
role,epic_stagging,InnoDB,4,16384,16384
student,epic_stagging,InnoDB,9949,4620288,9781248
studio,epic_stagging,InnoDB,54,49152,65536
studio_template,epic_stagging,InnoDB,40,16384,32768
time_zone,epic_stagging,InnoDB,8,16384,16384
training,epic_stagging,InnoDB,1254,1523712,1720320
training_config,epic_stagging,InnoDB,45,16384,0
training_date,epic_stagging,InnoDB,9223,2621440,1556480
users,epic_stagging,InnoDB,263,245760,114688
users_training,epic_stagging,InnoDB,17795,10928128,12566528
