TABLE_NAME,TABLE_SCHEMA,ENGINE,TABLE_ROWS,DATA_LENGTH,INDEX_LENGTH
Aggregator,systemx,InnoDB,15,16384,0
FailedBulkUploadMandate,systemx,InnoDB,21214,5783552,0
NU_bank_list,systemx,InnoDB,130,16384,0
accountType,systemx,InnoDB,5,16384,65536
account_number_validation,systemx,InnoDB,3194624,1701838848,2071592960
account_number_validation_log,systemx,InnoDB,27157685,16663969792,1227735040
account_number_validation_log_backup,systemx,InnoDB,56793,135954432,3686400
account_number_validation_status,systemx,InnoDB,2273606,142245888,44679168
account_number_validation_status_backup,systemx,InnoDB,3414,360448,81920
account_validation_api_details,systemx,InnoDB,0,16384,0
account_validation_vendor,systemx,InnoDB,1,16384,16384
account_validation_vendor_master,systemx,InnoDB,2,16384,0
agent_code_master,systemx,InnoDB,90,16384,16384
all_record_count,systemx,InnoDB,38,16384,0
api_req_res_logs,systemx,InnoDB,19845776,26169311232,346931200
api_user,systemx,InnoDB,60,16384,16384
apple_code_master,systemx,InnoDB,78,16384,0
auto_api_toggle_status,systemx,InnoDB,0,16384,0
automation_bank_list,systemx,InnoDB,3,16384,0
bancs_bank_master,systemx,InnoDB,3,16384,49152
branchHoErrorMaster,systemx,InnoDB,20,16384,0
bulk_mandate_reg,systemx,InnoDB,1060,229376,49152
business_id_master,systemx,InnoDB,4,16384,0
calendar,systemx,InnoDB,12366,475136,0
category,systemx,InnoDB,2,16384,0
channel_code_master,systemx,InnoDB,638,98304,32768
channel_code_master_cd,systemx,InnoDB,1517,196608,49152
chunk_table,systemx,InnoDB,68,16384,0
company,systemx,InnoDB,2,16384,0
counter_tbl,systemx,InnoDB,1065,81920,0
counter_tbl_demo,systemx,InnoDB,30,16384,0
courierMaster,systemx,InnoDB,11,16384,0
cron_log,systemx,InnoDB,3104538,230391808,0
debitApiTransactionResponse,systemx,InnoDB,0,16384,0
debitTransactionRejection,systemx,InnoDB,69,16384,0
debitTransactionRejectionCode,systemx,InnoDB,153,49152,16384
debitTransactionRejectionCode_backup,systemx,InnoDB,91,16384,16384
debitTransactionReversal,systemx,InnoDB,31239,8929280,0
